lang,tokenization,vocab_size,eval_data,metric_type,mean_value,seed
EN,bpe,8192,en,bpb,1.8302453366311333,68
DE,bpe,8192,de,bpb,1.6016916405222552,68
DE,bpe,8192,de-p,bpb,1.6239140337658284,68
DE,bpe,8192,DE_lowest,bpb,1.530466837719294,68
DE,bpe,8192,DE_highest,bpb,1.693855908418488,68
EN,bpe,32768,en,bpb,1.806639741324339,68
DE,bpe,32768,de,bpb,1.5905743187381853,68
DE,bpe,32768,de-p,bpb,1.6073772786482037,68
DE,bpe,32768,DE_lowest,bpb,1.5114294086363322,68
DE,bpe,32768,DE_highest,bpb,1.6851957839065612,68
EN,bpe,49152,en,bpb,1.7890319525307927,68
DE,bpe,49152,de,bpb,1.581928941893278,68
DE,bpe,49152,de-p,bpb,1.5993632267610047,68
DE,bpe,49152,DE_lowest,bpb,1.5104950460700675,68
DE,bpe,49152,DE_highest,bpb,1.6754062128816376,68
EN,bpe,65536,en,bpb,1.781001080676574,68
DE,bpe,65536,de,bpb,1.5836168935800896,68
DE,bpe,65536,de-p,bpb,1.5981390342877908,68
DE,bpe,65536,DE_lowest,bpb,1.5094972096531831,68
DE,bpe,65536,DE_highest,bpb,1.6829451946352074,68
EN,bpe,81920,en,bpb,1.7674323095417626,68
DE,bpe,81920,de,bpb,1.5781814186896133,68
DE,bpe,81920,de-p,bpb,1.5957621283853438,68
DE,bpe,81920,DE_lowest,bpb,1.5019830259670794,68
DE,bpe,81920,DE_highest,bpb,1.6801570023451389,68
EN,bpe,8192,en,cpb,1.830310600586453,68
DE,bpe,8192,de,cpb,1.6337088328692186,68
DE,bpe,8192,de-p,cpb,1.6604412097091659,68
DE,bpe,8192,DE_lowest,cpb,1.562499524814435,68
DE,bpe,8192,DE_highest,cpb,1.7335516311502563,68
EN,bpe,32768,en,cpb,1.8067031799092588,68
DE,bpe,32768,de,cpb,1.6224473968127282,68
DE,bpe,32768,de-p,cpb,1.6434989683884926,68
DE,bpe,32768,DE_lowest,cpb,1.5434088387020792,68
DE,bpe,32768,DE_highest,cpb,1.7245435886612377,68
EN,bpe,49152,en,cpb,1.7890961196807347,68
DE,bpe,49152,de,cpb,1.6131200373987475,68
DE,bpe,49152,de-p,cpb,1.6352384741377661,68
DE,bpe,49152,DE_lowest,cpb,1.541816872244734,68
DE,bpe,49152,DE_highest,cpb,1.7143931553378848,68
EN,bpe,65536,en,cpb,1.7810640472026875,68
DE,bpe,65536,de,cpb,1.615108626231523,68
DE,bpe,65536,de-p,cpb,1.634008998263128,68
DE,bpe,65536,DE_lowest,cpb,1.5402693794934084,68
DE,bpe,65536,DE_highest,cpb,1.7231470707080803,68
EN,bpe,81920,en,cpb,1.7674951535723509,68
DE,bpe,81920,de,cpb,1.6095878518026692,68
DE,bpe,81920,de-p,cpb,1.6316309742119783,68
DE,bpe,81920,DE_lowest,cpb,1.5331745594464454,68
DE,bpe,81920,DE_highest,cpb,1.719957408224559,68
EN,bpe,8192,en,ppl,130.90852644803672,68
DE,bpe,8192,de,ppl,76.21943198868567,68
DE,bpe,8192,de-p,ppl,83.99199547211214,68
DE,bpe,8192,DE_lowest,ppl,63.757898890045766,68
DE,bpe,8192,DE_highest,ppl,93.92078193742108,68
EN,bpe,32768,en,ppl,318.5598453812576,68
DE,bpe,32768,de,ppl,217.466728516514,68
DE,bpe,32768,de-p,ppl,252.33859671759944,68
DE,bpe,32768,DE_lowest,ppl,173.14247590660412,68
DE,bpe,32768,DE_highest,ppl,278.5996135813446,68
EN,bpe,49152,en,ppl,369.0750792411755,68
DE,bpe,49152,de,ppl,281.8771879240434,68
DE,bpe,49152,de-p,ppl,330.865647043636,68
DE,bpe,49152,DE_lowest,ppl,224.17386795594018,68
DE,bpe,49152,DE_highest,ppl,371.14652774828033,68
EN,bpe,65536,en,ppl,404.7654164314614,68
DE,bpe,65536,de,ppl,334.45161500855005,68
DE,bpe,65536,de-p,ppl,392.49732811270974,68
DE,bpe,65536,DE_lowest,ppl,259.6829407366236,68
DE,bpe,65536,DE_highest,ppl,449.5863662050292,68
EN,bpe,81920,en,ppl,419.4449398812695,68
DE,bpe,81920,de,ppl,363.44020835294,68
DE,bpe,81920,de-p,ppl,433.6402647124214,68
DE,bpe,81920,DE_lowest,ppl,279.5562334723432,68
DE,bpe,81920,DE_highest,ppl,506.88036638834984,68
EN,bpe,8192,en,sent-nll,154.79088895988465,68
DE,bpe,8192,de,sent-nll,161.8346032962799,68
DE,bpe,8192,de-p,sent-nll,176.57982625579834,68
DE,bpe,8192,DE_lowest,sent-nll,156.00891329669952,68
DE,bpe,8192,DE_highest,sent-nll,172.54552156829834,68
EN,bpe,32768,en,sent-nll,153.03986275672912,68
DE,bpe,32768,de,sent-nll,161.16306663894653,68
DE,bpe,32768,de-p,sent-nll,176.05191717529297,68
DE,bpe,32768,DE_lowest,sent-nll,154.5390970144272,68
DE,bpe,32768,DE_highest,sent-nll,172.21189817619324,68
EN,bpe,49152,en,sent-nll,151.9301458530426,68
DE,bpe,49152,de,sent-nll,160.73767938995363,68
DE,bpe,49152,de-p,sent-nll,175.44302450942993,68
DE,bpe,49152,DE_lowest,sent-nll,154.59837472343446,68
DE,bpe,49152,DE_highest,sent-nll,171.7944409122467,68
EN,bpe,65536,en,sent-nll,150.9004228401184,68
DE,bpe,65536,de,sent-nll,160.87319343948363,68
DE,bpe,65536,de-p,sent-nll,175.69886252975465,68
DE,bpe,65536,DE_lowest,sent-nll,154.33541890621186,68
DE,bpe,65536,DE_highest,sent-nll,172.2480454711914,68
EN,bpe,81920,en,sent-nll,150.1927695617676,68
DE,bpe,81920,de,sent-nll,160.31061709594726,68
DE,bpe,81920,de-p,sent-nll,175.24289381217957,68
DE,bpe,81920,DE_lowest,sent-nll,153.59268551635742,68
DE,bpe,81920,DE_highest,sent-nll,171.74848105049134,68
EN,bpe,8192,en,mrr,0.30977888133708575,68
DE,bpe,8192,de,mrr,0.35676068767969854,68
DE,bpe,8192,de-p,mrr,0.3442852268865289,68
DE,bpe,8192,DE_lowest,mrr,0.3282378890039126,68
DE,bpe,8192,DE_highest,mrr,0.37996574524386767,68
