lang,tokenization,vocab_size,eval_data,metric_type,mean_value,seed
EN,bpe,8192,en,bpb,1.8292441675519737,66
DE,bpe,8192,de,bpb,1.5923340871577643,66
DE,bpe,8192,de-p,bpb,1.6213677367156267,66
DE,bpe,8192,DE_lowest,bpb,1.5303081540001826,66
DE,bpe,8192,DE_highest,bpb,1.6860251350879678,66
EN,bpe,32768,en,bpb,1.8004264535000458,66
DE,bpe,32768,de,bpb,1.5775222942117904,66
DE,bpe,32768,de-p,bpb,1.6004974094842292,66
DE,bpe,32768,DE_lowest,bpb,1.5128586601112783,66
DE,bpe,32768,DE_highest,bpb,1.6730014562670077,66
EN,bpe,49152,en,bpb,1.7865863547003926,66
DE,bpe,49152,de,bpb,1.5710149965670732,66
DE,bpe,49152,de-p,bpb,1.596450009715035,66
DE,bpe,49152,DE_lowest,bpb,1.5079877547339176,66
DE,bpe,49152,DE_highest,bpb,1.6680724954917936,66
EN,bpe,65536,en,bpb,1.7776720858565436,66
DE,bpe,65536,de,bpb,1.5739543522446124,66
DE,bpe,65536,de-p,bpb,1.5980702551385928,66
DE,bpe,65536,DE_lowest,bpb,1.5100656068592502,66
DE,bpe,65536,DE_highest,bpb,1.6733076045096764,66
EN,bpe,81920,en,bpb,1.7698469332775626,66
DE,bpe,81920,de,bpb,1.5684825446545974,66
DE,bpe,81920,de-p,bpb,1.593511229409348,66
DE,bpe,81920,DE_lowest,bpb,1.5044046493417584,66
DE,bpe,81920,DE_highest,bpb,1.6704999618006624,66
EN,bpe,8192,en,cpb,1.82945164306532,66
DE,bpe,8192,de,cpb,1.6233496985081,66
DE,bpe,8192,de-p,cpb,1.6580934783676573,66
DE,bpe,8192,DE_lowest,cpb,1.5622417525143135,66
DE,bpe,8192,DE_highest,cpb,1.7261438668729452,66
EN,bpe,32768,en,cpb,1.8006317628005875,66
DE,bpe,32768,de,cpb,1.608219717796655,66
DE,bpe,32768,de-p,cpb,1.6366319979445159,66
DE,bpe,32768,DE_lowest,cpb,1.5447979344175393,66
DE,bpe,32768,DE_highest,cpb,1.712345923003496,66
EN,bpe,49152,en,cpb,1.78678789670825,66
DE,bpe,49152,de,cpb,1.6014251301152327,66
DE,bpe,49152,de-p,cpb,1.6325738559904284,66
DE,bpe,49152,DE_lowest,cpb,1.5395289271886439,66
DE,bpe,49152,DE_highest,cpb,1.707268880328193,66
EN,bpe,65536,en,cpb,1.7778788255221787,66
DE,bpe,65536,de,cpb,1.6045770772660106,66
DE,bpe,65536,de-p,cpb,1.6343642558543592,66
DE,bpe,65536,DE_lowest,cpb,1.5413360447960813,66
DE,bpe,65536,DE_highest,cpb,1.713466013233909,66
EN,bpe,81920,en,cpb,1.7700474014261938,66
DE,bpe,81920,de,cpb,1.5990798993969833,66
DE,bpe,81920,de-p,cpb,1.6298320598051401,66
DE,bpe,81920,DE_lowest,cpb,1.535533225559035,66
DE,bpe,81920,DE_highest,cpb,1.7109505642734346,66
EN,bpe,8192,en,ppl,132.00254633856778,66
DE,bpe,8192,de,ppl,74.68100596297667,66
