lang,tokenization,vocab_size,eval_data,metric_type,mean_value,seed
EN,bpe,8192,en,bpb,1.8188874959867938,77
DE,bpe,8192,de,bpb,1.5231311728780148,77
DE,bpe,8192,de-p,bpb,1.6845218665370123,77
DE,bpe,8192,DE_lowest,bpb,1.4950193300104426,77
DE,bpe,8192,DE_highest,bpb,1.6800509235248424,77
EN,bpe,32768,en,bpb,1.7851528702658732,77
DE,bpe,32768,de,bpb,1.5513129521091074,77
DE,bpe,32768,de-p,bpb,1.6579841818259826,77
DE,bpe,32768,DE_lowest,bpb,1.5261192600779556,77
DE,bpe,32768,DE_highest,bpb,1.7514390928806531,77
EN,bpe,49152,en,bpb,1.7620896828529642,77
DE,bpe,49152,de,bpb,1.5515991323418785,77
DE,bpe,49152,de-p,bpb,1.6720513430358224,77
DE,bpe,49152,DE_lowest,bpb,1.523246982758519,77
DE,bpe,49152,DE_highest,bpb,1.7186541602090855,77
EN,bpe,65536,en,bpb,1.7950065347040929,77
DE,bpe,65536,de,bpb,1.5478861659777912,77
DE,bpe,65536,de-p,bpb,1.5879554436873982,77
DE,bpe,65536,DE_lowest,bpb,1.5264518208734996,77
DE,bpe,65536,DE_highest,bpb,1.7057371179835474,77
EN,bpe,81920,en,bpb,1.7929366363039314,77
DE,bpe,81920,de,bpb,1.5193208327078058,77
DE,bpe,81920,de-p,bpb,1.6021157224778715,77
DE,bpe,81920,DE_lowest,bpb,1.5056796816092624,77
DE,bpe,81920,DE_highest,bpb,1.70206159044913,77
EN,bpe,8192,en,cpb,1.8188874959867938,77
DE,bpe,8192,de,cpb,1.5423807810240728,77
DE,bpe,8192,de-p,cpb,1.71945650782085,77
DE,bpe,8192,DE_lowest,cpb,1.5200795254435033,77
DE,bpe,8192,DE_highest,cpb,1.704684279590042,77
EN,bpe,32768,en,cpb,1.7851528702658732,77
DE,bpe,32768,de,cpb,1.5705228482703282,77
DE,bpe,32768,de-p,cpb,1.6923645014927573,77
DE,bpe,32768,DE_lowest,cpb,1.5500764279039805,77
DE,bpe,32768,DE_highest,cpb,1.779072594430194,77
EN,bpe,49152,en,cpb,1.7620896828529642,77
DE,bpe,49152,de,cpb,1.570745871648987,77
DE,bpe,49152,de-p,cpb,1.7063523337600253,77
DE,bpe,49152,DE_lowest,cpb,1.547031296669298,77
