lang,tokenization,vocab_size,eval_data,metric_type,mean_value,seed
EN,bpe,8192,en,bpb,1.8323632200777442,88
DE,bpe,8192,de,bpb,1.5748412788491915,88
DE,bpe,8192,de-p,bpb,1.6117456381184712,88
DE,bpe,8192,DE_lowest,bpb,1.514778887712894,88
DE,bpe,8192,DE_highest,bpb,1.6807522877858896,88
EN,bpe,32768,en,bpb,1.799568680676156,88
DE,bpe,32768,de,bpb,1.5647744688532115,88
DE,bpe,32768,de-p,bpb,1.5941818286960865,88
DE,bpe,32768,DE_lowest,bpb,1.503384398512106,88
DE,bpe,32768,DE_highest,bpb,1.6693212754527822,88
EN,bpe,49152,en,bpb,1.7902098462464278,88
DE,bpe,49152,de,bpb,1.5582017531055739,88
DE,bpe,49152,de-p,bpb,1.5913924332074532,88
DE,bpe,49152,DE_lowest,bpb,1.4961137853397577,88
DE,bpe,49152,DE_highest,bpb,1.666630976679019,88
EN,bpe,65536,en,bpb,1.781724194216577,88
DE,bpe,65536,de,bpb,1.559788835010916,88
DE,bpe,65536,de-p,bpb,1.5912467244772999,88
DE,bpe,65536,DE_lowest,bpb,1.4961269390572354,88
DE,bpe,65536,DE_highest,bpb,1.6724829761894597,88
EN,bpe,81920,en,bpb,1.7755086428026925,88
DE,bpe,81920,de,bpb,1.551348820524119,88
DE,bpe,81920,de-p,bpb,1.5891916507833876,88
DE,bpe,81920,DE_lowest,bpb,1.4891125199823192,88
DE,bpe,81920,DE_highest,bpb,1.667304822173508,88
EN,bpe,8192,en,cpb,1.8325477769820548,88
DE,bpe,8192,de,cpb,1.6043522010149367,88
DE,bpe,8192,de-p,cpb,1.6474204314948622,88
DE,bpe,8192,DE_lowest,cpb,1.5454118526176175,88
DE,bpe,8192,DE_highest,cpb,1.7202264875909399,88
EN,bpe,32768,en,cpb,1.7997442947119306,88
DE,bpe,32768,de,cpb,1.5940572136139157,88
DE,bpe,32768,de-p,cpb,1.6292281388204606,88
DE,bpe,32768,DE_lowest,cpb,1.5340604065639918,88
DE,bpe,32768,DE_highest,cpb,1.7081060915669464,88
EN,bpe,49152,en,cpb,1.7903874040513337,88
DE,bpe,49152,de,cpb,1.5872996196269082,88
DE,bpe,49152,de-p,cpb,1.6265507220037843,88
DE,bpe,49152,DE_lowest,cpb,1.5262609221721914,88
DE,bpe,49152,DE_highest,cpb,1.705444332106504,88
EN,bpe,65536,en,cpb,1.7819075306383143,88
DE,bpe,65536,de,cpb,1.5890627047959325,88
DE,bpe,65536,de-p,cpb,1.626531930706456,88
DE,bpe,65536,DE_lowest,cpb,1.5263125299959281,88
DE,bpe,65536,DE_highest,cpb,1.7118470293018027,88
EN,bpe,81920,en,cpb,1.7756868978736566,88
DE,bpe,81920,de,cpb,1.5804782122976475,88
DE,bpe,81920,de-p,cpb,1.6245702510073214,88
DE,bpe,81920,DE_lowest,cpb,1.519326342026461,88
DE,bpe,81920,DE_highest,cpb,1.7065337236387204,88
EN,bpe,8192,en,ppl,132.2529815701911,88
DE,bpe,8192,de,ppl,71.42062977560879,88
DE,bpe,8192,de-p,ppl,82.60270857125386,88
DE,bpe,8192,DE_lowest,ppl,61.442477552439485,88
DE,bpe,8192,DE_highest,ppl,92.05516111755486,88
EN,bpe,32768,en,ppl,318.83325206379624,88
DE,bpe,32768,de,ppl,200.62290559044425,88
DE,bpe,32768,de-p,ppl,246.11313155845156,88
DE,bpe,32768,DE_lowest,ppl,167.2094058983227,88
DE,bpe,32768,DE_highest,ppl,268.56587365473854,88
EN,bpe,49152,en,ppl,376.58995422127646,88
DE,bpe,49152,de,ppl,260.0389858573748,88
DE,bpe,49152,de-p,ppl,322.92689359034773,88
DE,bpe,49152,DE_lowest,ppl,214.64687356956313,88
DE,bpe,49152,DE_highest,ppl,358.6848622399437,88
EN,bpe,65536,en,ppl,408.07414736882686,88
DE,bpe,65536,de,ppl,307.80416431470985,88
DE,bpe,65536,de-p,ppl,389.4813994313768,88
DE,bpe,65536,DE_lowest,ppl,251.10466414969093,88
DE,bpe,65536,DE_highest,ppl,435.15711218070766,88
EN,bpe,81920,en,ppl,425.900617497252,88
DE,bpe,81920,de,ppl,332.6101642646805,88
DE,bpe,81920,de-p,ppl,428.8092591711295,88
DE,bpe,81920,DE_lowest,ppl,271.4292672935983,88
DE,bpe,81920,DE_highest,ppl,481.66834345539417,88
EN,bpe,8192,en,sent-nll,152.3497717485428,88
DE,bpe,8192,de,sent-nll,157.59070832061767,88
DE,bpe,8192,de-p,sent-nll,173.83713091659547,88
DE,bpe,8192,DE_lowest,sent-nll,152.5720756187439,88
DE,bpe,8192,DE_highest,sent-nll,169.84958917999268,88
EN,bpe,32768,en,sent-nll,150.37079107666017,88
DE,bpe,32768,de,sent-nll,156.99609963798522,88
DE,bpe,32768,de-p,sent-nll,172.81074504852296,88
DE,bpe,32768,DE_lowest,sent-nll,151.79383923912047,88
DE,bpe,32768,DE_highest,sent-nll,169.5542144241333,88
EN,bpe,49152,en,sent-nll,149.46434928321838,88
DE,bpe,49152,de,sent-nll,156.6269765472412,88
DE,bpe,49152,de-p,sent-nll,172.50713620376587,88
DE,bpe,49152,DE_lowest,sent-nll,151.1987785873413,88
DE,bpe,49152,DE_highest,sent-nll,169.39925422096252,88
EN,bpe,65536,en,sent-nll,148.71947429847717,88
DE,bpe,65536,de,sent-nll,156.81863796806334,88
DE,bpe,65536,de-p,sent-nll,172.82331542778016,88
DE,bpe,65536,DE_lowest,sent-nll,151.457302072525,88
DE,bpe,65536,DE_highest,sent-nll,169.64035598373414,88
EN,bpe,81920,en,sent-nll,148.20187783050537,88
DE,bpe,81920,de,sent-nll,156.11633281898497,88
DE,bpe,81920,de-p,sent-nll,172.4820912246704,88
DE,bpe,81920,DE_lowest,sent-nll,150.90371417808532,88
DE,bpe,81920,DE_highest,sent-nll,169.07950544548035,88
EN,bpe,8192,en,mrr,0.3132238703650379,88
DE,bpe,8192,de,mrr,0.3620698709128146,88
DE,bpe,8192,de-p,mrr,0.34670921684264694,88
DE,bpe,8192,DE_lowest,mrr,0.33142606362188626,88
DE,bpe,8192,DE_highest,mrr,0.3824908331386007,88
EN,bpe,32768,en,mrr,0.2545199027634046,88
DE,bpe,32768,de,mrr,0.28499712833777197,88
DE,bpe,32768,de-p,mrr,0.26503392762667505,88
DE,bpe,32768,DE_lowest,mrr,0.2526731081778503,88
DE,bpe,32768,DE_highest,mrr,0.30670224541898394,88
EN,bpe,49152,en,mrr,0.2502842587327138,88
DE,bpe,49152,de,mrr,0.27035283037359104,88
DE,bpe,49152,de-p,mrr,0.24708533218045764,88
DE,bpe,49152,DE_lowest,mrr,0.23700573207519246,88
DE,bpe,49152,DE_highest,mrr,0.2901677408424331,88
EN,bpe,65536,en,mrr,0.24770111732292208,88
DE,bpe,65536,de,mrr,0.2632824534437195,88
DE,bpe,65536,de-p,mrr,0.2379494041226214,88
DE,bpe,65536,DE_lowest,mrr,0.2295551458465018,88
DE,bpe,65536,DE_highest,mrr,0.28393037654585784,88
EN,bpe,81920,en,mrr,0.24778366625530424,88
DE,bpe,81920,de,mrr,0.2619737527397464,88
DE,bpe,81920,de-p,mrr,0.2327561371546145,88
DE,bpe,81920,DE_lowest,mrr,0.22696140629202607,88
DE,bpe,81920,DE_highest,mrr,0.2802162708499238,88
EN,bpe,8192,en,token-nll,4.884716615438461,88
DE,bpe,8192,de,token-nll,4.268586760044098,88
DE,bpe,8192,de-p,token-nll,4.414042471408844,88
DE,bpe,8192,DE_lowest,token-nll,4.118101412773132,88
DE,bpe,8192,DE_highest,token-nll,4.5223879747390745,88
EN,bpe,32768,en,token-nll,5.764668245315551,88
DE,bpe,32768,de,token-nll,5.301427054405212,88
DE,bpe,32768,de-p,token-nll,5.505791314601899,88
DE,bpe,32768,DE_lowest,token-nll,5.119246954441071,88
DE,bpe,32768,DE_highest,token-nll,5.5930962233543395,88
EN,bpe,49152,en,token-nll,5.931156940937043,88
DE,bpe,49152,de,token-nll,5.560831565380097,88
DE,bpe,49152,de-p,token-nll,5.777425961971283,88
DE,bpe,49152,DE_lowest,token-nll,5.368994229316711,88
DE,bpe,49152,DE_highest,token-nll,5.882444181919098,88
EN,bpe,65536,en,token-nll,6.011448891639709,88
DE,bpe,65536,de,token-nll,5.729463750600815,88
DE,bpe,65536,de-p,token-nll,5.96481610918045,88
DE,bpe,65536,DE_lowest,token-nll,5.525869840860367,88
DE,bpe,65536,DE_highest,token-nll,6.075707143306732,88
EN,bpe,81920,en,token-nll,6.054206026792526,88
DE,bpe,81920,de,token-nll,5.806971126317978,88
DE,bpe,81920,de-p,token-nll,6.0610122027397155,88
DE,bpe,81920,DE_lowest,token-nll,5.603701579809189,88
DE,bpe,81920,DE_highest,token-nll,6.177255793094635,88
