lang,tokenization,vocab_size,eval_data,metric_type,mean_value,seed
EN,bpe,8192,en,bpb,1.4960053887046,67
DE,bpe,8192,de,bpb,1.2431211195395158,67
DE,bpe,8192,de-p,bpb,1.2217510880043032,67
DE,bpe,8192,DE_lowest,bpb,1.101771800792466,67
DE,bpe,8192,DE_highest,bpb,1.2431211195395158,67
EN,bpe,32768,en,bpb,1.4048416447972378,67
DE,bpe,32768,de,bpb,1.2845209500262664,67
DE,bpe,32768,de-p,bpb,1.2128061873068212,67
DE,bpe,32768,DE_lowest,bpb,1.1291033811695588,67
DE,bpe,32768,DE_highest,bpb,1.2845209500262664,67
EN,bpe,49152,en,bpb,1.3860370763887198,67
DE,bpe,49152,de,bpb,1.233559884777876,67
DE,bpe,49152,de-p,bpb,1.220387562104773,67
DE,bpe,49152,DE_lowest,bpb,1.131404254449612,67
DE,bpe,49152,DE_highest,bpb,1.233559884777876,67
EN,bpe,65536,en,bpb,1.398085639345778,67
DE,bpe,65536,de,bpb,1.1622351564265243,67
DE,bpe,65536,de-p,bpb,1.2205161339623836,67
DE,bpe,65536,DE_lowest,bpb,1.1286799192573116,67
DE,bpe,65536,DE_highest,bpb,1.1622351564265243,67
EN,bpe,81920,en,bpb,1.4423175279927036,67
DE,bpe,81920,de,bpb,1.237927201790695,67
DE,bpe,81920,de-p,bpb,1.1973576381278013,67
DE,bpe,81920,DE_lowest,bpb,1.0227129524727667,67
DE,bpe,81920,DE_highest,bpb,1.237927201790695,67
EN,bpe,8192,en,cpb,1.4960053887046,67
DE,bpe,8192,de,cpb,1.272030913017179,67
DE,bpe,8192,de-p,cpb,1.2377565607729186,67
DE,bpe,8192,DE_lowest,cpb,1.1238957325352863,67
DE,bpe,8192,DE_highest,cpb,1.272030913017179,67
EN,bpe,32768,en,cpb,1.4048416447972378,67
DE,bpe,32768,de,cpb,1.3143935302594354,67
DE,bpe,32768,de-p,cpb,1.2286944779702296,67
DE,bpe,32768,DE_lowest,cpb,1.151776139827582,67
DE,bpe,32768,DE_highest,cpb,1.3143935302594354,67
EN,bpe,49152,en,cpb,1.3860370763887198,67
DE,bpe,49152,de,cpb,1.2622473239587568,67
DE,bpe,49152,de-p,cpb,1.2363751720886784,67
DE,bpe,49152,DE_lowest,cpb,1.1541232153823353,67
DE,bpe,49152,DE_highest,cpb,1.2622473239587568,67
EN,bpe,65536,en,cpb,1.398085639345778,67
DE,bpe,65536,de,cpb,1.189263880994583,67
DE,bpe,65536,de-p,cpb,1.2365054282937686,67
DE,bpe,65536,DE_lowest,cpb,1.151344174664085,67
DE,bpe,65536,DE_highest,cpb,1.189263880994583,67
EN,bpe,81920,en,cpb,1.4423175279927036,67
DE,bpe,81920,de,cpb,1.266716206483502,67
DE,bpe,81920,de-p,cpb,1.213043546050873,67
DE,bpe,81920,DE_lowest,cpb,1.0432493571408945,67
DE,bpe,81920,DE_highest,cpb,1.266716206483502,67
EN,bpe,8192,en,ppl,148.21146335213513,67
DE,bpe,8192,de,ppl,58.09845284161725,67
DE,bpe,8192,de-p,ppl,40.73063316019759,67
DE,bpe,8192,DE_lowest,ppl,34.01696202988702,67
DE,bpe,8192,DE_highest,ppl,58.09845284161725,67
EN,bpe,32768,en,ppl,217.96428658169333,67
DE,bpe,32768,de,ppl,236.6090512697123,67
DE,bpe,32768,de-p,ppl,84.14446739276066,67
DE,bpe,32768,DE_lowest,ppl,143.98819699030904,67
DE,bpe,32768,DE_highest,ppl,236.6090512697123,67
EN,bpe,49152,en,ppl,202.80789424870935,67
DE,bpe,49152,de,ppl,246.06956504712002,67
DE,bpe,49152,de-p,ppl,95.96366326136297,67
DE,bpe,49152,DE_lowest,ppl,165.26451032087013,67
DE,bpe,49152,DE_highest,ppl,246.06956504712002,67
EN,bpe,65536,en,ppl,212.39283136167555,67
DE,bpe,65536,de,ppl,203.7635666679826,67
DE,bpe,65536,de-p,ppl,96.00984524205472,67
