lang,tokenization,vocab_size,eval_data,metric_type,mean_value,seed
EN,bpe,8192,en,bpb,1.8292441675519735,77
DE,bpe,8192,de,bpb,1.5923340871577645,77
DE,bpe,8192,de-p,bpb,1.6213677367156267,77
DE,bpe,8192,DE_lowest,bpb,1.5303081540001826,77
DE,bpe,8192,DE_highest,bpb,1.6860251350879678,77
EN,bpe,32768,en,bpb,1.8004264535000458,77
DE,bpe,32768,de,bpb,1.5775222942117904,77
DE,bpe,32768,de-p,bpb,1.6004974094842292,77
DE,bpe,32768,DE_lowest,bpb,1.5128586601112783,77
DE,bpe,32768,DE_highest,bpb,1.6730014562670077,77
EN,bpe,49152,en,bpb,1.7865863547003926,77
DE,bpe,49152,de,bpb,1.5710149965670732,77
DE,bpe,49152,de-p,bpb,1.596450009715035,77
DE,bpe,49152,DE_lowest,bpb,1.5079877547339176,77
DE,bpe,49152,DE_highest,bpb,1.6680724954917936,77
EN,bpe,65536,en,bpb,1.7776720858565436,77
DE,bpe,65536,de,bpb,1.5739543522446124,77
DE,bpe,65536,de-p,bpb,1.5980702551385928,77
DE,bpe,65536,DE_lowest,bpb,1.5100656068592502,77
DE,bpe,65536,DE_highest,bpb,1.6733076045096764,77
EN,bpe,81920,en,bpb,1.7698469332775626,77
DE,bpe,81920,de,bpb,1.5684825446545974,77
DE,bpe,81920,de-p,bpb,1.593511229409348,77
DE,bpe,81920,DE_lowest,bpb,1.5044046493417584,77
DE,bpe,81920,DE_highest,bpb,1.6704999618006624,77
EN,bpe,8192,en,cpb,1.82945164306532,77
DE,bpe,8192,de,cpb,1.6233496985081,77
DE,bpe,8192,de-p,cpb,1.6580934783676573,77
DE,bpe,8192,DE_lowest,cpb,1.5622417525143135,77
DE,bpe,8192,DE_highest,cpb,1.7261438668729452,77
EN,bpe,32768,en,cpb,1.8006317628005877,77
DE,bpe,32768,de,cpb,1.608219717796655,77
DE,bpe,32768,de-p,cpb,1.636631997944516,77
DE,bpe,32768,DE_lowest,cpb,1.544797934417539,77
DE,bpe,32768,DE_highest,cpb,1.712345923003496,77
EN,bpe,49152,en,cpb,1.78678789670825,77
DE,bpe,49152,de,cpb,1.601425130115233,77
DE,bpe,49152,de-p,cpb,1.6325738559904284,77
DE,bpe,49152,DE_lowest,cpb,1.539528927188644,77
DE,bpe,49152,DE_highest,cpb,1.707268880328193,77
EN,bpe,65536,en,cpb,1.777878825522179,77
DE,bpe,65536,de,cpb,1.6045770772660106,77
DE,bpe,65536,de-p,cpb,1.6343642558543592,77
DE,bpe,65536,DE_lowest,cpb,1.541336044796081,77
DE,bpe,65536,DE_highest,cpb,1.713466013233909,77
EN,bpe,81920,en,cpb,1.7700474014261938,77
DE,bpe,81920,de,cpb,1.5990798993969833,77
DE,bpe,81920,de-p,cpb,1.62983205980514,77
DE,bpe,81920,DE_lowest,cpb,1.535533225559035,77
DE,bpe,81920,DE_highest,cpb,1.7109505642734346,77
EN,bpe,8192,en,ppl,132.00254633856778,77
DE,bpe,8192,de,ppl,74.68100596297667,77
DE,bpe,8192,de-p,ppl,84.359446726193,77
DE,bpe,8192,DE_lowest,ppl,64.48143510717138,77
DE,bpe,8192,DE_highest,ppl,93.95261159810175,77
EN,bpe,32768,en,ppl,315.1144710214551,77
DE,bpe,32768,de,ppl,208.59294902050456,77
DE,bpe,32768,de-p,ppl,252.0071917743959,77
DE,bpe,32768,DE_lowest,ppl,173.349264471728,77
DE,bpe,32768,DE_highest,ppl,274.76879817808975,77
EN,bpe,49152,en,ppl,366.0327989723645,77
DE,bpe,49152,de,ppl,267.7692138009708,77
DE,bpe,49152,de-p,ppl,328.653057131188,77
DE,bpe,49152,DE_lowest,ppl,220.8516373018469,77
DE,bpe,49152,DE_highest,ppl,362.93509140170886,77
EN,bpe,65536,en,ppl,396.9201095153448,77
DE,bpe,65536,de,ppl,317.41712604506114,77
DE,bpe,65536,de-p,ppl,393.0097117115099,77
DE,bpe,65536,DE_lowest,ppl,258.8952007497236,77
DE,bpe,65536,DE_highest,ppl,438.2115032031977,77
EN,bpe,81920,en,ppl,414.4501073066808,77
DE,bpe,81920,de,ppl,348.4389270306762,77
DE,bpe,81920,de-p,ppl,433.5956476683081,77
DE,bpe,81920,DE_lowest,ppl,283.13387763169254,77
DE,bpe,81920,DE_highest,ppl,492.4089743584968,77
EN,bpe,8192,en,sent-nll,155.55033659755915,77
DE,bpe,8192,de,sent-nll,162.34409950038582,77
DE,bpe,8192,de-p,sent-nll,177.2136940667196,77
DE,bpe,8192,DE_lowest,sent-nll,156.6071726558324,77
DE,bpe,8192,DE_highest,sent-nll,173.9843455879582,77
EN,bpe,32768,en,sent-nll,153.4691603106144,77
DE,bpe,32768,de,sent-nll,161.26616365359197,77
DE,bpe,32768,de-p,sent-nll,175.73761975723443,77
DE,bpe,32768,DE_lowest,sent-nll,155.3085104988167,77
DE,bpe,32768,DE_highest,sent-nll,173.14031989728443,77
EN,bpe,49152,en,sent-nll,152.44280798028095,77
DE,bpe,49152,de,sent-nll,160.93748608074847,77
DE,bpe,49152,de-p,sent-nll,175.4637760225391,77
DE,bpe,49152,DE_lowest,sent-nll,155.0478793904969,77
DE,bpe,49152,DE_highest,sent-nll,172.97095851105453,77
EN,bpe,65536,en,sent-nll,151.63606287111446,77
DE,bpe,65536,de,sent-nll,161.1293647304797,77
DE,bpe,65536,de-p,sent-nll,175.60707879723105,77
